"_time","Logon_Type",ComputerName,EventCode
"2026-08-14T08:37:27.000+0700",2,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4648
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",2,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",2,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4648
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:26.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:26.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:26.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:26.000+0700",2,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4648
"2026-08-14T08:37:26.000+0700",2,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4648
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4902
"2026-08-14T08:37:26.000+0700",0,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4608
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:26.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:25.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:25.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:25.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:24.000+0700",,"DESKTOP-IUKE6AK",4688
"2026-08-14T08:37:24.000+0700",,"DESKTOP-IUKE6AK",4826
"2026-08-14T08:37:24.000+0700",,"DESKTOP-IUKE6AK",4696
"2026-08-14T08:37:24.000+0700",,"DESKTOP-IUKE6AK",4688
